driver;fp1 result;fp1 time;fp1 laps;fp1 gap;fp2 result;fp2 time;fp2 laps;fp2 gap;fp3 result;fp3 time;fp3 laps;fp3 gap;quali 1 result;quali 1 time;quali 1 gap;quali 2 result;quali 2 time;quali 2 gap;quli 3 result;quali 3 time;quali 3 gap;Race Result;Race Time in sec;Race fastest lap position;Race Fastest lap time;Race Fastest lap Gap;Race Fastest lap avg. Speed;Race num pit stops;Race total pit stop time
Fernando Alonso;8;85.896;16;1.870;8;85.200;28;1.269;10;94.298;13;8.231;7;83.597;0.773;11;83.692;1.748;11;83.692;2.528;5;5401.169;7;86.978;1.033;219.489;1;22.573
Valtteri Bottas;2;84.577;29;0.551;3;84.159;34;0.228;7;94.174;14;8.107;9;83.686;0.862;3;82.089;0.145;10;82.089;0.925;8;5407.622;8;87.019;1.074;219.230;1;21.644
Marcus Ericsson;19;87.964;28;3.938;19;86.814;31;2.883;3;88.890;14;2.823;17;84.532;1.732;17;84.532;2.588;17;84.532;3.368;19;;19;92.210;6.265;207.036;;
Pierre Gasly;11;86.494;25;2.468;17;85.945;39;2.014;11;94.990;16;8.923;20;85.295;2.371;20;85.295;3.351;20;85.295;4.131;18;;18;90.649;4.704;210.601;;
Romain Grosjean;7;85.730;24;1.704;6;84.648;34;0.717;15;96.171;6;10.104;8;83.671;0.847;9;83.468;1.524;7;83.339;2.175;16;;16;88.805;2.860;214.974;1;23.054
Lewis Hamilton;1;84.026;27;0.000;1;83.931;35;0.000;8;94.225;7;8.158;1;82.824;0.000;2;82.051;0.107;1;81.164;0.000;2;5378.319;3;86.444;0.499;220.845;1;21.821
Brendon Hartley;18;87.745;16;3.719;16;85.925;41;1.994;12;95.438;16;9.371;16;84.532;1.708;16;84.532;2.588;16;84.532;3.368;15;5461.425;13;88.176;2.231;216.507;2;44.509
Nico Hulkenberg;13;86.583;25;2.557;13;85.463;35;1.532;18;98.482;8;12.415;10;83.782;0.958;10;83.544;1.600;8;83.532;2.368;7;5405.954;9;87.081;1.136;219.230;1;22.628
Charles Leclerc;20;88.853;28;4.827;20;86.815;35;2.884;16;96.448;12;10.381;18;84.636;1.812;18;84.636;2.692;18;84.636;3.472;13;5449.042;15;88.759;2.814;215.085;2;45.078
Kevin Magnussen;17;87.035;13;3.009;9;85.246;30;1.315;17;96.807;7;10.740;11;83.909;1.085;8;83.300;1.356;6;83.187;2.023;17;;17;89.534;3.589;213.224;1;21.983
Esteban Ocon;14;86.605;30;2.579;15;85.888;33;1.957;19;;;;15;84.503;1.679;15;84.786;2.842;15;84.786;3.622;12;5433.561;10;87.600;1.655;217.931;1;21.854
Sergio Perez;16;86.636;26;2.741;12;85.413;30;1.482;20;;;;13;84.344;1.520;13;84.005;2.061;13;84.005;2.841;11;5420.100;11;87.633;1.688;217.079;1;22.327
Kimi Raikkonen;4;84.875;23;0.849;4;84.214;39;0.283;2;88.499;13;2.432;2;83.096;0.272;5;82.507;0.563;2;81.828;0.664;3;5379.592;2;86.373;0.428;221.027;1;21.421
Daniel Ricciardo;6;85.063;25;1.037;7;84.721;28;0.790;6;94.043;14;7.976;5;83.494;0.670;6;82.897;0.953;5;82.152;0.988;4;5380.352;1;85.945;0.000;222.128;1;21.440
Carlos Sainz;9;85.922;23;1.896;11;85.390;35;1.459;5;99.172;11;7.105;6;83.529;0.705;7;83.061;1.117;9;83.577;2.413;10;5419.005;12;87.944;1.999;217.079;1;23.868
Sergei Sirotkin;12;86.536;25;2.510;18;85.974;37;2.043;13;95.589;16;9.522;19;84.922;2.098;19;84.922;2.978;19;84.922;3.758;20;;20;92.573;6.628;206.224;;
Lance Stroll;15;86.636;30;2.610;14;85.543;32;1.612;14;95.828;8;9.761;14;84.464;1.640;14;84.230;2.286;14;84.230;3.066;14;5451.571;14;88.805;2.860;215.688;2;46.901
Stoffel Vandoorne;10;86.482;15;2.456;10;85.285;34;1.354;9;94.233;15;8.166;12;84.073;1.249;12;83.853;1.909;12;83.853;2.689;9;5408.204;6;86.958;1.013;219.489;1;22.504
Max Verstappen;3;84.771;26;0.745;2;84.058;34;0.127;4;91.680;8;5.613;4;83.483;0.659;4;82.416;0.472;4;81.879;0.715;6;5402.228;5;86.880;0.935;219.737;1;20.953
Sebastian Vettel;5;84.995;22;0.969;5;84.451;38;0.520;1;86.067;15;0.000;3;83.348;0.524;1;81.944;0.000;3;81.838;0.674;1;5373.283;4;86.469;0.524;220.782;1;21.787
Fernando Alonso;11;93.223;24;2.163;9;91.282;29;1.465;10;91.445;1.577;13;15;90.530;7.434;13;90.212;8.268;13;90.212;8.374;7;;4;94.453;7.434;206.274;2;49.574
Valtteri Bottas;2;91.364;24;0.304;3;90.38;31;0.563;6;90.781;0.913;16;3;89.275;6.179;4;88.794;6.850;3;88.124;6.286;2;5522.639;1;93.74;6.721;207.842;1;26.105
Marcus Ericsson;17;93.508;22;2.448;19;92.733;32;2.916;16;91.859;1.991;17;17;91.063;7.967;17;91.063;9.119;17;91.063;9.225;9;;15;95.093;8.074;204.885;1;25.194
Pierre Gasly;7;92.779;26;1.719;8;91.232;38;1.415;9;91.438;1.570;18;9;90.121;7.025;9;89.836;7.892;6;89.329;7.491;4;5584.174;11;94.863;7.844;205.382;2;49.792
Romain Grosjean;6;92.516;23;1.456;11;91.591;33;1.774;12;91.513;1.645;14;16;90.53;7.434;16;90.53;8.586;16;90.53;8.692;13;;3;94.053;7.034;207.151;3;76.801
Lewis Hamilton;5;92.272;21;1.212;4;90.472;32;0.655;4;90.691;0.823;14;5;89.396;6.300;2;88.458;6.514;4;88.22;6.382;3;5528.452;2;93.953;6.934;207.371;1;24.302
Brendon Hartley;16;93.397;27;2.437;20;92.908;38;3.091;11;91.460;1.592;18;13;90.412;7.316;11;90.105;8.161;11;90.105;8.267;17;;10;94.689;7.670;205.759;2;61.599
Nico Hulkenberg;10;93.104;18;2.044;7;91.22;34;1.403;7;91.144;1.276;11;11;90.26;7.164;6;89.187;7.243;8;89.57;7.732;6;5620.964;9;94.667;7.648;205.807;2;48.836
Charles Leclerc;12;93.278;20;2.218;16;92.372;37;2.555;18;92.047;2.179;19;19;91.42;8.324;19;91.42;9.476;19;91.42;9.582;12;;13;95.058;8.039;204.961;2;50.702
Kevin Magnussen;9;92.971;19;1.911;15;91.969;35;2.152;15;91.737;1.869;14;7;89.594;6.498;7;89.623;7.679;7;89.358;7.520;5;5596.986;5;94.327;7.308;206.549;2;49.735
Esteban Ocon;19;93.794;23;2.734;13;91.809;31;1.992;13;91.554;1.686;17;12;90.338;7.242;10;90.009;8.065;9;89.874;8.036;10;;12;95.043;8.024;204.993;2;49.315
